Generated by database/atmosphere/generate_atmosphere_table.py (pymsis)

Model: NRLMSISE-00
Date and time (UTC): 2015-01-01T01:30:00+00:00
Longitude [deg. East]: 1 point(s), 45.0 to 45.0
Latitude [deg. North]: 1 point(s), 55.0 to 55.0
F10.7 = 140.0, F10.7A = 146.0, Ap = 8.0
The species below the lower bound of the model are written as zero.

   Selected parameters are:
1 Height, km
2 O, cm-3
3 N2, cm-3
4 O2, cm-3
5 Mass_density, g/cm-3
6 Temperature_neutral, K
7 N, cm-3

          1          2          3          4          5          6          7
        0.0  0.000e+00  2.101e+19  5.635e+18  1.292e-03  2.721e+02  0.000e+00
        1.0  0.000e+00  1.874e+19  5.026e+18  1.153e-03  2.689e+02  0.000e+00
        2.0  0.000e+00  1.681e+19  4.510e+18  1.034e-03  2.636e+02  0.000e+00
        3.0  0.000e+00  1.513e+19  4.058e+18  9.306e-04  2.569e+02  0.000e+00
        4.0  0.000e+00  1.361e+19  3.650e+18  8.372e-04  2.496e+02  0.000e+00
        5.0  0.000e+00  1.221e+19  3.276e+18  7.513e-04  2.421e+02  0.000e+00
        6.0  0.000e+00  1.091e+19  2.926e+18  6.711e-04  2.348e+02  0.000e+00
        7.0  0.000e+00  9.685e+18  2.598e+18  5.958e-04  2.283e+02  0.000e+00
        8.0  0.000e+00  8.536e+18  2.290e+18  5.252e-04  2.226e+02  0.000e+00
        9.0  0.000e+00  7.464e+18  2.002e+18  4.592e-04  2.181e+02  0.000e+00
       10.0  0.000e+00  6.471e+18  1.736e+18  3.981e-04  2.149e+02  0.000e+00
       11.0  0.000e+00  5.564e+18  1.493e+18  3.423e-04  2.132e+02  0.000e+00
       12.0  0.000e+00  4.757e+18  1.276e+18  2.927e-04  2.124e+02  0.000e+00
       13.0  0.000e+00  4.054e+18  1.088e+18  2.494e-04  2.123e+02  0.000e+00
       14.0  0.000e+00  3.453e+18  9.263e+17  2.124e-04  2.124e+02  0.000e+00
       15.0  0.000e+00  2.944e+18  7.897e+17  1.811e-04  2.122e+02  0.000e+00
       16.0  0.000e+00  2.516e+18  6.749e+17  1.548e-04  2.115e+02  0.000e+00
       17.0  0.000e+00  2.153e+18  5.775e+17  1.325e-04  2.104e+02  0.000e+00
       18.0  0.000e+00  1.842e+18  4.942e+17  1.133e-04  2.091e+02  0.000e+00
       19.0  0.000e+00  1.575e+18  4.225e+17  9.690e-05  2.078e+02  0.000e+00
       20.0  0.000e+00  1.344e+18  3.605e+17  8.268e-05  2.067e+02  0.000e+00
       21.0  0.000e+00  1.144e+18  3.068e+17  7.037e-05  2.060e+02  0.000e+00
       22.0  0.000e+00  9.711e+17  2.605e+17  5.975e-05  2.058e+02  0.000e+00
       23.0  0.000e+00  8.231e+17  2.208e+17  5.064e-05  2.059e+02  0.000e+00
       24.0  0.000e+00  6.966e+17  1.869e+17  4.286e-05  2.063e+02  0.000e+00
       25.0  0.000e+00  5.888e+17  1.580e+17  3.623e-05  2.072e+02  0.000e+00
       26.0  0.000e+00  4.973e+17  1.334e+17  3.060e-05  2.084e+02  0.000e+00
       27.0  0.000e+00  4.198e+17  1.126e+17  2.583e-05  2.099e+02  0.000e+00
       28.0  0.000e+00  3.543e+17  9.506e+16  2.180e-05  2.117e+02  0.000e+00
       29.0  0.000e+00  2.991e+17  8.023e+16  1.840e-05  2.139e+02  0.000e+00
       30.0  0.000e+00  2.525e+17  6.774e+16  1.554e-05  2.165e+02  0.000e+00
       31.0  0.000e+00  2.133e+17  5.723e+16  1.312e-05  2.194e+02  0.000e+00
       32.0  0.000e+00  1.804e+17  4.838e+16  1.110e-05  2.227e+02  0.000e+00
       33.0  0.000e+00  1.527e+17  4.095e+16  9.392e-06  2.262e+02  0.000e+00
       34.0  0.000e+00  1.295e+17  3.475e+16  7.969e-06  2.299e+02  0.000e+00
       35.0  0.000e+00  1.102e+17  2.956e+16  6.779e-06  2.336e+02  0.000e+00
       36.0  0.000e+00  9.398e+16  2.521e+16  5.782e-06  2.372e+02  0.000e+00
       37.0  0.000e+00  8.038e+16  2.156e+16  4.946e-06  2.408e+02  0.000e+00
