Generated by database/atmosphere/generate_atmosphere_table.py (pymsis)

Model: NRLMSISE-00
Date and time (UTC): 1965-05-22T22:21:57+00:00
Longitude [deg. East]: 1 point(s), -16.9 to -16.9
Latitude [deg. North]: 1 point(s), -7.4 to -7.4
F10.7 = 75.0, F10.7A = 75.0, Ap = 4.0
The species below the lower bound of the model are written as zero.

   Selected parameters are:
1 Height, km
2 O, cm-3
3 N2, cm-3
4 O2, cm-3
5 Mass_density, g/cm-3
6 Temperature_neutral, K
7 N, cm-3

          1          2          3          4          5          6          7
        0.0  0.000e+00  1.892e+19  5.076e+18  1.164e-03  2.992e+02  0.000e+00
        1.0  0.000e+00  1.725e+19  4.627e+18  1.061e-03  2.925e+02  0.000e+00
        2.0  0.000e+00  1.563e+19  4.194e+18  9.619e-04  2.869e+02  0.000e+00
        3.0  0.000e+00  1.412e+19  3.787e+18  8.685e-04  2.819e+02  0.000e+00
        4.0  0.000e+00  1.271e+19  3.411e+18  7.823e-04  2.771e+02  0.000e+00
        5.0  0.000e+00  1.144e+19  3.068e+18  7.036e-04  2.723e+02  0.000e+00
        6.0  0.000e+00  1.028e+19  2.758e+18  6.326e-04  2.669e+02  0.000e+00
        7.0  0.000e+00  9.246e+18  2.480e+18  5.688e-04  2.610e+02  0.000e+00
        8.0  0.000e+00  8.320e+18  2.232e+18  5.119e-04  2.542e+02  0.000e+00
        9.0  0.000e+00  7.492e+18  2.010e+18  4.609e-04  2.465e+02  0.000e+00
       10.0  0.000e+00  6.751e+18  1.811e+18  4.153e-04  2.378e+02  0.000e+00
       11.0  0.000e+00  6.078e+18  1.631e+18  3.739e-04  2.283e+02  0.000e+00
       12.0  0.000e+00  5.443e+18  1.460e+18  3.349e-04  2.190e+02  0.000e+00
       13.0  0.000e+00  4.827e+18  1.295e+18  2.970e-04  2.109e+02  0.000e+00
       14.0  0.000e+00  4.227e+18  1.134e+18  2.601e-04  2.045e+02  0.000e+00
       15.0  0.000e+00  3.648e+18  9.786e+17  2.244e-04  2.004e+02  0.000e+00
       16.0  0.000e+00  3.102e+18  8.321e+17  1.908e-04  1.989e+02  0.000e+00
       17.0  0.000e+00  2.610e+18  7.001e+17  1.605e-04  1.994e+02  0.000e+00
